"doi_prefix","issn"
"10.60018","0239-8818"
"10.1118","0094-2405"
"10.31273","1467-0437"
"10.1024","1661-4747"
"10.2748","0040-8735"
"10.17816","2074-0530"
"10.3224","0938-5363"
"10.22196","1984-1566"
"10.7151","1234-3099"
"10.25007","2520-789X"
"10.33142","2717-5537"
"10.38011","2655-9099"
"10.14689","2148-2624"
"10.1238","0031-8949"
"10.36322","2708-728X"
"10.21552","1619-5272"
"10.55041","2582-3930"
"10.51201","1007-6735"
"10.18485","1821-3138"
"10.22475","2316-9230"
"10.16948","1300-7971"
"10.15628","1807-1600"
"10.5302","1225-9845"
"10.15283","2005-3606"
"10.2223","0021-7557"
"10.26512","1981-0431"
"10.1541","0385-4221"
"10.18327","2733-8045"
"10.2227","2250-1177"
"10.29017","2541-0520"
"10.5241","0486-8234"
"10.15723","1738-9003"
"10.56059","2311-1550"
"10.15796","1226-9689"
"10.26552","1335-4205"
"10.36719","2663-4619"
"10.3242","2663-0818"
"10.1165","1044-1549"
"10.17577","2278-0181"
"10.4187","0020-1324"
"10.2527","0021-8812"
"10.7577","1890-9167"
"10.31673","2415-8089"
"10.22271","2349-6800"
"10.18231","2319-1090"
"10.1172","0021-9738"
"10.31018","2231-5209"
"10.2524","0022-815X"
"10.36901","2708-8960"
"10.2932","2456-7698"
"10.25","1050-6586"
"10.29056","2384-101X"
"10.24194","2308-2461"
"10.23939","2617-7307"
"10.53841","2396-9652"
"10.1433","1976-9229"
"10.1146","0084-6570"
"10.20981","1303-4251"
"10.30918","2354-2160"
"10.1127","0941-2948"
"10.30848","0556-3321"
"10.1822","2146-4642"
"10.18853","1598-3293"
"10.55081","2774-3055"
"10.1099","0020-7713"
"10.5055","1539-4131"
"10.55111","2709-1961"
"10.17654","0973-7006"
"10.15296","2330-4456"
"10.1123","0899-8493"
"10.431","1095-0761"
"10.1351","1365-3075"
"10.15273","2371-4395"
"10.21002","2406-9280"
"10.21665","2318-3888"
"10.51486","2746-5160"
"10.54207","0971-9431"
"10.3866","1000-6818"
"10.18093","2541-9617"
"10.32734","2622-1640"
"10.5188","2358-1654"
"10.1381","1708-0428"
